date,entity,crimes2
2015-01-27,P-104,0.0
2015-01-27,P-083,0.0
2015-01-27,P-094,0.0
2015-01-27,P-121,0.0
2015-01-27,P-005,0.0
2015-01-27,P-025,0.0
2015-01-27,P-046,0.0
2015-01-27,P-110,0.0
2015-01-27,P-061,0.0
2015-01-27,P-081,0.0
2015-01-27,P-105,0.0
2015-01-27,P-115,0.0
2015-01-27,P-107,0.0
2015-01-27,P-013,0.0
2015-01-27,P-020,0.0
2015-01-27,P-050,0.0
2015-01-27,P-079,0.0
2015-01-27,P-001,0.0
2015-01-27,P-006,0.0
2015-01-27,P-014,0.0
2015-01-27,P-072,0.0
2015-01-27,P-073,0.0
2015-01-27,P-048,0.0
2015-01-27,P-114,0.0
2015-01-27,P-122,0.0
2015-01-27,P-052,0.0
2015-01-27,P-078,0.0
2015-01-27,P-077,0.0
2015-01-27,P-026,0.0
2015-01-27,P-108,0.0
2015-01-27,P-070,0.0
2015-01-27,P-069,0.0
2015-01-27,P-120,0.0
2015-01-27,P-063,0.0
2015-01-27,P-071,0.0
2015-01-27,P-084,0.0
2015-01-27,P-009,0.0
2015-01-27,P-068,0.0
2015-01-27,P-076,0.0
2015-01-27,P-066,0.0
2015-01-27,P-017,0.0
2015-01-27,P-042,0.0
2015-01-27,P-088,0.0
2015-01-27,P-032,0.0
2015-01-27,P-060,0.0
2015-01-27,P-102,0.0
2015-01-27,P-028,0.0
2015-01-27,P-090,0.0
2015-01-27,P-112,0.0
2015-01-27,P-010,0.0
2015-01-27,P-106,0.0
2015-01-27,P-024,0.0
2015-01-27,P-101,0.0
2015-01-27,P-030,0.0
2015-01-27,P-033,0.0
2015-01-27,P-034,0.0
2015-01-27,P-111,0.0
2015-01-27,P-100,0.0
2015-01-27,P-123,0.0
2015-01-27,P-022,0.0
2015-01-28,P-018,1.0
2015-01-28,P-044,0.0
2015-01-28,P-075,0.0
2015-01-28,P-043,0.0
2015-01-28,P-040,0.0
2015-01-28,P-109,1.0
2015-01-28,P-007,1.0
2015-01-28,P-023,0.0
2015-01-28,P-103,0.0
2015-01-28,P-019,0.0
2015-01-28,P-041,0.0
2015-01-28,P-113,0.0
